city,state,street_address,zipcode,bed,bath,sqft,lotsize,price,hoa_monthly,price_per_sqft,parking_space,year,median_home_price,median_selling_price,mhp_per_sqft,school_district,broker,property_type_condo,property_type_mfd/mobile,property_type_multi-family,property_type_single_family,property_type_townhome
berkeley,CA,135 tunnel rd,94705,4.0,2.5,2904.0,5814.0,1949000.0,275.0,671.0,1.9443037974683544,1912.0,1495000.0,1550000.0,691.0,berkeley (510) 644-6150,the grubb co.,0,0,0,1,0
berkeley,CA,2611 derby st,94705,5.0,2.5,2377.0,3400.0,1795000.0,275.0,755.0,1.9443037974683544,1925.0,1495000.0,1550000.0,691.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,161 tamalpais rd,94708,2.0,2.0,1480.0,7713.0,1095000.0,275.0,740.0,1.9443037974683544,1983.0,1300000.0,1915000.0,804.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,490 panoramic way,94704,2.0,2.0,1125.0,5984.0,899000.0,275.0,799.0,1.9443037974683544,1948.0,899000.0,900000.0,818.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,2690 shasta rd,94708,3.0,2.5,3070.0,6507.0,1595000.0,275.0,520.0,1.9443037974683544,1979.0,1300000.0,1915000.0,804.0,-,compass,0,0,0,1,0
berkeley,CA,1475 campus dr,94708,3.0,2.5,1434.0,6588.0,1150000.0,275.0,802.0,1.0,1972.0,1300000.0,1915000.0,804.0,-,compass,0,0,0,1,0
berkeley,CA,1733 francisco st apt d,94703,3.0,1.5,1160.0,7325.0,975000.0,275.0,841.0,1.0,1969.0,1425000.0,1400000.0,766.0,berkeley (510) 644-6150,-,0,0,0,0,1
berkeley,CA,2635 mathews st,94702,3.0,2.0,1235.0,2120.0,1170000.0,275.0,947.0,1.0,1912.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,2322 eighth st,94710,2.0,2.0,1144.0,3240.0,959000.0,275.0,838.0,1.9443037974683544,1907.0,1095000.0,1237500.0,860.0,-,compass,0,0,0,1,0
berkeley,CA,2444 virginia st apt b,94709,2.0,2.0,900.0,0.29,775000.0,300.0,861.0,1.0,1932.0,948500.0,965000.0,975.0,berkeley (510) 644-6150,-,1,0,0,0,0
berkeley,CA,1246 hopkins st,94702,2.0,2.0,1391.0,3360.0,1195000.0,275.0,859.0,1.9443037974683544,1935.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,2211 mckinley ave,94703,3.0,2.0,1507.0,5200.0,1475000.0,275.0,979.0,1.0,1919.0,1425000.0,1400000.0,766.0,berkeley (510) 644-6150,coldwell banker realty,0,0,0,1,0
berkeley,CA,2329 seventh st,94710,3.0,2.0,1293.0,5400.0,1195000.0,275.0,924.0,1.9443037974683544,1916.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,1281 berkeley way,94702,4.0,2.5,1814.0,4120.0,1088000.0,275.0,600.0,1.0,1941.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,1507 tyler st,94703,3.0,2.5,1328.0,3375.0,1098000.0,275.0,827.0,1.9443037974683544,1924.0,1048000.0,1285000.0,809.0,berkeley (510) 644-6150,compass,0,0,0,1,0
berkeley,CA,1732 carleton st,94703,4.0,2.0,1804.0,4800.0,1120000.0,275.0,621.0,1.9443037974683544,1906.0,1048000.0,1285000.0,809.0,-,-,0,0,0,1,0
berkeley,CA,1514 blake st,94703,3.0,3.0,1685.0,5300.0,1249000.0,275.0,741.0,1.0,1925.0,1048000.0,1285000.0,809.0,-,-,0,0,0,1,0
berkeley,CA,1109 woodside rd,94708,3.0,2.0,1727.0,5616.0,1495000.0,27.0,866.0,2.0,1953.0,1695000.0,2145474.0,774.0,berkeley unified,-,0,0,0,1,0
berkeley,CA,7164 buckingham blvd,94705,3.0,3.0,2904.0,6336.0,1595000.0,275.0,549.0,2.0,2002.0,1495000.0,1550000.0,691.0,oakland (510) 879-8111,village associates real estate,0,0,0,1,0
berkeley,CA,570 woodmont ave,94708,3.0,2.5,2663.0,8800.0,1695000.0,275.0,637.0,2.0,1921.0,1525000.0,2010000.0,670.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,84 plaza dr,94705,3.0,2.0,1697.0,5750.0,1750000.0,275.0,1031.0,1.0,1910.0,1495000.0,1550000.0,691.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,2929 piedmont ave,94705,3.0,2.0,1915.0,4026.0,1775000.0,275.0,927.0,1.9443037974683544,1910.0,1495000.0,1550000.0,691.0,-,-,0,0,0,1,0
berkeley,CA,1820 9th st,94710,4.0,3.0,1917.0,3250.0,995000.0,275.0,519.0,1.9443037974683544,1908.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,1625 san lorenzo ave,94707,2.0,2.0,1153.0,4100.0,1199000.0,275.0,1040.0,1.0,1925.0,1095000.0,1495000.0,862.0,-,-,0,0,0,1,0
berkeley,CA,2214 browning st,94702,3.0,2.0,1560.0,3840.0,1249000.0,275.0,801.0,1.9443037974683544,1918.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,1436 67th st,94702,3.0,2.0,2072.0,5000.0,1150000.0,275.0,555.0,1.9443037974683544,1916.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,compass,0,0,0,1,0
berkeley,CA,260 alvarado rd,94705,4.0,2.5,2388.0,0.25,1899000.0,275.0,795.0,2.0,1995.0,1495000.0,1550000.0,691.0,-,compass,0,0,0,1,0
berkeley,CA,1760 marin ave,94707,2.0,2.0,1449.0,7450.0,1350000.0,275.0,932.0,2.0,1924.0,1350000.0,1350000.0,893.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,2616 etna st,94704,3.0,2.5,2929.0,6075.0,2495000.0,275.0,852.0,1.9443037974683544,1906.0,1495000.0,1550000.0,691.0,-,better homes and gardens real estate reliance partners,0,0,0,1,0
berkeley,CA,1215 san pablo ave,94706,3.0,2.0,862.0,2500.0,849000.0,275.0,985.0,1.9443037974683544,1946.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,1407 hearst ave,94702,4.0,2.0,1652.0,5000.0,1750000.0,275.0,1059.0,1.0,1924.0,1095000.0,1237500.0,860.0,berkeley unified,-,0,0,0,1,0
berkeley,CA,1128 cedar st,94702,2.0,2.0,2120.0,5250.0,1550000.0,275.0,731.0,1.0,1925.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,1230 neilson st,94706,2.0,2.0,1238.0,3800.0,1149000.0,275.0,928.0,1.9443037974683544,1925.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,2535 chilton way,94704,4.0,2.0,1744.0,2589.0,1360000.0,275.0,780.0,1.9443037974683544,1906.0,1048000.0,1285000.0,809.0,-,-,0,0,0,1,0
berkeley,CA,75 maryland ave,94707,3.0,2.0,1747.0,5000.0,1450000.0,275.0,830.0,2.0,1937.0,1525000.0,2010000.0,670.0,-,-,0,0,0,1,0
berkeley,CA,2710 cedar st,94708,4.0,3.0,3119.0,7936.0,2895000.0,275.0,928.0,2.0,1956.0,948500.0,965000.0,975.0,berkeley (510) 644-6150,-,0,0,0,1,0
berkeley,CA,2128 sacramento st,94702,3.0,1.5,1344.0,5998.0,980000.0,275.0,729.0,2.0,1930.0,1095000.0,1237500.0,860.0,alameda,-,0,0,0,1,0
berkeley,CA,1479 olympus ave,94708,3.0,2.0,1680.0,5574.0,1680000.0,275.0,1000.0,2.0,1952.0,1300000.0,1915000.0,804.0,-,coldwell banker realty,0,0,0,1,0
berkeley,CA,2209 fifth st unit a,94710,2.0,2.0,1448.0,7619.0,1195000.0,965.0,825.0,1.0,2005.0,1095000.0,1237500.0,860.0,berkeley (510) 644-6150,-,1,0,0,0,0
berkeley,CA,808 allston way,94710,4.0,1.5,1226.0,4500.0,899000.0,275.0,733.0,1.0,1890.0,1095000.0,1237500.0,860.0,-,bay area dream homes,0,0,0,1,0
berkeley,CA,1154 spruce st,94707,3.0,2.0,1659.0,5400.0,1000000.0,275.0,603.0,1.9443037974683544,1926.0,1350000.0,1350000.0,893.0,berkeley (510) 644-6150,berkeley hills realty,0,0,0,1,0
berkeley,CA,2824 benvenue ave,94705,4.0,3.0,2993.0,7400.0,2275000.0,275.0,760.0,1.9443037974683544,1906.0,1495000.0,1550000.0,691.0,-,-,0,0,0,1,0
berkeley,CA,3024 stanton st,94702,3.0,3.0,2155.0,4000.0,1599000.0,275.0,742.0,1.9443037974683544,1920.0,1095000.0,1237500.0,860.0,berkeley unified,-,0,0,0,1,0
berkeley,CA,2948 pine ave,94705,3.0,2.0,1312.0,4321.0,1800000.0,275.0,1372.0,1.9443037974683544,1907.0,1495000.0,1550000.0,691.0,-,-,0,0,0,1,0
berkeley,CA,1349 neilson st,94702,2.0,2.0,786.0,2100.0,750000.0,275.0,954.0,1.9443037974683544,1948.0,1095000.0,1237500.0,860.0,-,-,0,0,0,1,0
berkeley,CA,2161 n valley st,94702,3.0,1.5,1186.0,3395.0,1388000.0,275.0,1170.0,1.9443037974683544,1923.0,1095000.0,1237500.0,860.0,-,compass,0,0,0,1,0
berkeley,CA,1815 allston way,94703,3.0,2.0,1388.0,3400.0,1379000.0,275.0,994.0,1.9443037974683544,1904.0,1425000.0,1400000.0,766.0,-,golden gate sotheby's international realty,0,0,0,1,0
